id,parent_id,category,name,coordinates,rating,is_location,is_active
4623655511,4623655500,С,ПІСКИ,,25,True,
4623655512,4623655500,С,ПОПЕЛЯНИ,,25,True,
4623655513,4623655500,С,СОКОЛІВКА,,25,True,
4623655514,4623655500,С,СОРОКИ,,25,True,
4623655515,4623655500,С,ЧЕРКАСИ,,25,True,
4623655516,4623655500,С,ЯСТРУБКІВ,,25,True,
4623680000,4623600000,,СІЛЬРАДИ ПУСТОМИТІВСЬКОГО Р-НУ,,0,False,
4623680400,4623600000,,БОРЩОВИЦЬКА,,0,False,
4623680401,4623680400,С,БОРЩОВИЧІ,,25,True,
4623680800,4623600000,,ВЕРХНЬОБІЛКІВСЬКА,,0,False,
4623680801,4623680800,С,ВЕРХНЯ БІЛКА,,25,True,
4623680802,4623680800,С,НИЖНЯ БІЛКА,,25,True,
4623680803,4623680800,С,СУХОРІЧЧЯ,,25,True,
4623681200,4623600000,,ВИННИЧКІВСЬКА,,0,False,
4623681201,4623681200,С,ВИННИЧКИ,,25,True,
4623681202,4623681200,С,ГОНЧАРИ,,25,True,
4623681203,4623681200,С,ДМИТРОВИЧІ,,25,True,
4623681600,4623600000,,ЗИМНОВОДІВСЬКА,,0,False,
4623681601,4623681600,С,ЗИМНА ВОДА,,25,True,
4623681800,4623600000,,ВОВКІВСЬКА,,0,False,
4623681801,4623681800,С,ВОВКІВ,,25,True,
4623681802,4623681800,С,ГРАБНИК,,25,True,
4623681803,4623681800,С,ЗАГІР'Я,,25,True,
4623681805,4623681800,С,КУГАЇВ,,25,True,
4623681807,4623681800,С,СЕЛИСЬКО,,25,True,
4623681809,4623681800,С,ТОВЩІВ,,25,True,
4623681900,4623600000,,ГАМАЛІЇВСЬКА,,0,False,
4623681915,4623681900,С,ГАМАЛІЇВКА,,25,True,
4623682000,4623600000,,ГОДОВИЦЬКО-БАСІВСЬКА,,0,False,
4623682001,4623682000,С,ГОДОВИЦЯ,,25,True,
4623682003,4623682000,С,БАСІВКА,,25,True,
4623682400,4623600000,,ДАВИДІВСЬКА,,0,False,
4623682401,4623682400,С,ДАВИДІВ,,25,True,
4623682402,4623682400,С,ЧЕРЕПИН,,25,True,
4623682800,4623600000,,ЖИРІВСЬКА,,0,False,
4623682801,4623682800,С,ЖИРІВКА,,25,True,
4623682802,4623682800,С,КОВ'ЯРІ,,25,True,
4623682803,4623682800,С,МИЛЯТИЧІ,,25,True,
4623683100,4623600000,,ЗВЕНИГОРОДСЬКА,,0,False,
4623683101,4623683100,С,ЗВЕНИГОРОД,,25,True,
4623683102,4623683100,С,ВІДНИКИ,,25,True,
4623683103,4623683100,С,ГРИНІВ,,25,True,
4623683104,4623683100,С,КОЦУРІВ,,25,True,
4623683105,4623683100,С,ШОЛОМИНЬ,,25,True,
4623683300,4623600000,,ЗУБРЯНСЬКА,,0,False,
4623683301,4623683300,С,ЗУБРА,,25,True,
4623683400,4623600000,,КОНОПНИЦЬКА,,0,False,
4623683401,4623683400,С,КОНОПНИЦЯ,,25,True,
4623683500,4623600000,,КРОТОШИНСЬКА,,0,False,
4623683501,4623683500,С,КРОТОШИН,,25,True,
4623683700,4623600000,,ЛАПАЇВСЬКА,,0,False,
4623683701,4623683700,С,ЛАПАЇВКА,,25,True,
4623683703,4623683700,С,ХОЛОДНОВІДКА,,25,True,
4623683800,4623600000,,ЛИСИНИЧІВСЬКА,,0,False,
4623683801,4623683800,С,ЛИСИНИЧІ,,25,True,
4623683802,4623683800,С,ПІДБІРЦІ,,25,True,
4623684000,4623600000,,МИКЛАШІВСЬКА,,0,False,
4623684001,4623684000,С,МИКЛАШІВ,,25,True,
4623684002,4623684000,С,ПІДГІРНЕ,,25,True,
4623684200,4623600000,,МІСТКІВСЬКА,,0,False,
4623684201,4623684200,С,МІСТКИ,,25,True,
4623684202,4623684200,С,ДИБ'ЯНКИ,,25,True,
4623684204,4623684200,С,МАЛИНІВКА,,25,True,
4623684205,4623684200,С,ПОЛЯНКА,,25,True,
4623684400,4623600000,,МИКОЛАЇВСЬКА,,0,False,
4623684401,4623684400,С,МИКОЛАЇВ,,25,True,
4623684402,4623684400,С,ГАЇ,,25,True,
4623684403,4623684400,С,ГОРОДИСЛАВИЧІ,,25,True,
4623684404,4623684400,С,ПІДСОСНІВ,,25,True,
4623684900,4623600000,,ОБРОШИНСЬКА,,0,False,
4623684901,4623684900,С,ОБРОШИНЕ,,25,True,
4623684906,4623684900,С,ПРИШЛЯКИ,,25,True,
4623685100,4623600000,,ПАСІКИ-ЗУБРИЦЬКА,,0,False,
4623685101,4623685100,С,ПАСІКИ-ЗУБРИЦЬКІ,,25,True,
4623685103,4623685100,С,ГОРІШНІЙ,,25,True,
4623685200,4623600000,,ПИКУЛОВИЧІВСЬКА,,0,False,
4623685201,4623685200,С,ПИКУЛОВИЧІ,,25,True,
4623685300,4623600000,,ПІДБЕРІЗЦІВСЬКА,,0,False,
4623685301,4623685300,С,ПІДБЕРІЗЦІ,,25,True,
4623685500,4623600000,,ПОРШНЯНСЬКА,,0,False,
